ID,LD50,Smiles
237,2.121,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
238,1.591,O=C(NCC#N)c1cnccc1C(F)(F)F
239,1.046,COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F
240,2.25,COC1=C(C=CC(=C1F)C2=NC(=C(C(=C2F)N)Cl)C(=O)OCC3=CC=CC=C3)Cl
241,2,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
242,1.782,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F
243,2,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F
244,2,CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C
245,2,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N
246,3,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N
247,5,FC3(F)OC(C(O3)=CC=C2)=C2C1=CNC=C1C#N
248,2,O=C(NC(NC2=C(F)C=C(OC3=C(Cl)C=C(C(F)(F)F)C=C3)C=C2)=O)C1=C(F)C=CC=C1F
249,0.2,O=C(NC(NC2=C(F)C=C(OC3=C(Cl)C=C(C(F)(F)F)C=C3)C=C2)=O)C1=C(F)C=CC=C1F
250,2,CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
251,2.25,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
252,2.15,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
253,2.25,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
254,2,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
255,2,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl
256,2,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F
257,0.05,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F
258,2,CO/N=C(\C1=CC=CC=C1OC2=C(C(=NC=N2)OC3=CC=CC=C3Cl)F)/C4=NOCCO4
259,0.232,C1C(=CC(=O)O1)N(CC2=CN=C(C=C2)Cl)CC(F)F
260,2.25,COC1=CC(=NC(=N1)[N-]C(=O)NS(=O)(=O)C2=C(C=CC(=N2)C(F)(F)F)C(=O)OC)OC.[Na+]
261,2,Clc4ccc(N1C(=O)c3cc(F)ccc3N=C1n2cncn2)c(Cl)c4
262,0.787,Clc4ccc(N1C(=O)c3cc(F)ccc3N=C1n2cncn2)c(Cl)c4
263,2,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl
264,2.25,NC1=C(Cl)C(F)=NC(OCC(O)=O)=C1Cl
265,2,CCCCCCC(C)OC(=O)COC1=NC(=C(C(=C1Cl)N)Cl)F
266,2,OC(C(C)C)(c1cncnc1)c2ccc(OC(F)(F)F)cc2
267,2.53,C3=C(C1=C(OC(C1=O)C2=CC=CC=C2)NC)C=CC=C3C(F)(F)F
268,2.25,COC1=CC=CC=C1N\2CCS/C2=C(/C#N)\SC3=C(C=CC(=C3)C(F)(F)F)F
269,2,CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F
270,0.179,OC(CN1N=CN=C1)(C(C=C2)=CC=C2F)C(C=CC=C3)=C3F
271,2,OC(CN1N=CN=C1)(C(C=C2)=CC=C2F)C(C=CC=C3)=C3F
272,2,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F
273,2.51,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
274,2,C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl
275,2,O=C(NS(=O)(C2=C(C(N(C)C)=O)C=CC(NC=O)=C2)=O)NC1=NC(OC)=CC(OC)=N1
276,2.25,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl
277,0.089,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C
278,0.0115,CNC(=O)OC1=CC=CC(=C1)N=CN(C)C.Cl
